GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,ValidateRenderer,488,632,83,32,128,160,58,22,5,12
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,TagreferenceMojo,0,35,0,0,0,8,0,6,0,6
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,AbstractReportMojoEx,63,84,3,5,12,19,3,4,0,3
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,Messages,13,39,2,2,5,10,3,4,1,4
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,TagreferenceRenderer,105,920,30,60,27,213,31,24,1,9
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,ValidateRenderer.ValidationError,23,0,0,0,10,0,5,0,5,0
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,AbstractMavenTaglibReportRenderer,0,12,0,0,0,4,0,2,0,2
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,Taglib,0,76,0,0,0,27,0,14,0,14
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,AbstractReportMojo,16,35,4,4,5,6,4,2,0,2
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,TaglibdocJar,88,0,8,0,25,0,7,0,3,0
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,ValidateMojo,16,85,0,2,4,18,0,9,0,8
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,TldGenerateMojo,95,714,19,61,25,158,17,32,0,7
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib,TaglibdocMojo,58,158,3,11,10,34,3,11,0,7
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.util,JspClass,0,52,0,0,0,12,0,4,0,4
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.util,JspCheck,52,144,11,11,10,28,7,8,1,3
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.util,XmlHelper,19,46,0,2,4,13,2,3,2,2
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.util,JspNamespace,0,29,0,0,0,7,0,3,0,3
Maven Taglib Plugin,io.github.weblegacy.taglib_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,TagAttribute,75,57,6,0,23,22,7,13,4,13
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,TagFile,39,32,4,2,12,11,5,4,3,3
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,Tag,73,67,5,1,21,24,6,12,3,12
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,Tld,15,66,0,0,4,28,1,19,1,19
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,TagVariable,84,65,6,0,25,24,6,14,3,14
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,TldParser,10,559,16,67,4,145,16,51,0,11
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,ElFunction,48,55,4,2,14,19,4,9,2,8
Maven Taglib Plugin,io.github.weblegacy.maven.plugin.taglib.checker,TldItem,56,56,7,3,18,20,6,11,2,10
